url,title,provider,year,copyrights,country,description,language,creation_date,europeana_url
"""https://sammlungen.uni-goettingen.de/rest/image/record_kuniweb_1400489/record_kuniweb_1400489_834402.jpg/full/full/0/default.jpg""","""Portrait des Martin Opitz, Imago Martini Opitii""",German Digital Library,,http://creativecommons.org/licenses/by-sa/4.0/,Germany,"""Gravur: P. Aubry excud., Marke: Universität Königsberg
UK A 13, Gravur: IMAGO MARTINI OPITII V. C. AD VIVUM EXPRESSA. Dulcia dum Musae ... Teutonis ore canit.""",de,2023-10-11,https://hdl.handle.net/21.11107/63f24370-d1e7-44a4-813e-ddad890d4c19
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/12b0e4fa-95fc-11e2-ba50-3e9e657c5b7c/media/1c491f62-e99e-4bb2-9a65-4faad5214b0b/content""","""Krippe, Crib""",Kulturpool,1812,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Figuren aus Ton und Holz, teils Naturalien verarbeitet; 24 Personen, 2 Engel, 1 Esel, 1 Rind, 1 Schaf, 1 Hund, 1 Pfau, 2 Hirsch, 8 Hennen, 3 Hasen, 21 Schafe, 1 Reh, 2 Eichhörnchen, 17 Schnecken""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/12b0e4fa-95fc-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/d9f5943a-95fb-11e2-ba50-3e9e657c5b7c/media/7190d918-5bd6-4088-9870-54538b2c4b7d/content""","""Crib, Krippe""",Kulturpool,1990,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Typ: Königszug mit Gefolge, Figuren aus Terrakotta, mit Stoff bekleidet; 17 Personen, 5 Hunde, 1 Elefant, 1 Löwe, 1 Kamel, 1 Affe, 3 Hennen""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/d9f5943a-95fb-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/b50a2ae2-95fa-11e2-ba50-3e9e657c5b7c/media/8432307d-a421-4d0a-97b3-236aa019b45d/content""","""Verkündigung""",Kulturpool,1993,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Figuren aus Terrakotta, 2 Tauben, 9 Krüge, Figures of terracotta, 2 doves, 9 jugs""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/b50a2ae2-95fa-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/95cffe18-95fa-11e2-ba50-3e9e657c5b7c/media/c16b00c9-f67d-4e47-af14-286f749243b7/content""","""Kastenkrippe""",Kulturpool,1995,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Figures of terracotta, 8 persons, 1 hen, 1 dog, 1 donkey, 1 sheep, Figuren aus Terrakotta, 8 Personen, 1 Henne, 1 Hund, 1 Esel, 1 Schaf""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/95cffe18-95fa-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/6535d7aa-95fa-11e2-ba50-3e9e657c5b7c/media/d6f5ec6f-805c-440f-9edb-a45bd51e5251/content""","""Krippe, Crib""",Kulturpool,2001,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Typ: orientalisch, Figuren geschnitzt, von Helmut Reischl; 6 Personen, 6 Schafe, 1 Rind, 1 Esel, 5 Krüge""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/6535d7aa-95fa-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/86fc3582-92d5-11e2-ba50-3e9e657c5b7c/media/29bffcc0-4057-41b6-a6eb-2e9d941f3e46/content""","""Crib, Krippe""",Kulturpool,1995,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Typ: heimatlich, Figuren aus Ton, 3 Personen, 1 Esel""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/86fc3582-92d5-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/ad0ec8aa-9084-11e2-ba50-3e9e657c5b7c/media/8c6401bc-4c79-4a08-b055-2fe3b883dfac/content""","""Kleinkrippe, Small crib""",Kulturpool,,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Kleinkrippe aus Stein mit Figuren aus Stein, aus Peru""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/ad0ec8aa-9084-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/50359778-92d5-11e2-ba50-3e9e657c5b7c/media/ad9e1c65-f6c5-4109-87ab-234d0bdf6120/content""","""Verkündigung""",Kulturpool,1991,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Figuren aus Terrakotta, 5 Hennen, Figures from terracotta, 5 hens""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/50359778-92d5-11e2-ba50-3e9e657c5b7c
"""https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/0c87b6aa-92d5-11e2-ba50-3e9e657c5b7c/media/525f5c67-f774-40e0-9701-d4a494256a30/content""","""Letztes Abendmahl, Ensemble""",Kulturpool,1998,http://creativecommons.org/licenses/by-nc-sa/4.0/,Austria,"""Figuren von Ilse Wohlgenannt, 12 Jünger, 1 Jesus, 7 Krüge""",de,2023-07-07,https://apps.m-box.at/panoptikum/archives/v5_vb03/mitems/0c87b6aa-92d5-11e2-ba50-3e9e657c5b7c
